PRODUCT COLLECTION,PRODUCT ID,SIZE,FINISH,THICKNESS ,SQFT PER PIECE,PIECES PER BOX,SQFT PER BOX,U/M,PRICE / UOM,PRICE /  EACH,,Item Id,Web Link,Product Line,Material,Product Category,Item Description,Status,Source,Volume,Creation Date
TUSCANY BEIGE VERSAILLES HF PATTERN,TTBEIG-PAT-HF,PATTERN,HF,0.50 INCH,16,1,16,SQFT/KIT,3.9,62.36,,TTBEIG-PAT-HF,www.msisurfaces.com/outdoor-tile/travertine/tuscany-beige/,NS,TRAVERTINE,NATURAL STONE TRAVERTINE COLLECTIONS,Tus. Beige Pattern HF - 16 sqft.,MSI/Hardscape,Q1-2019 Price List,MATURE,27-Nov-07
TUSCANY BEIGE VERSAILLES HUFC PATTERN,TTBEIG-PAT-HUFC,PATTERN,HUFC,0.50 INCH,16,1,16,SQFT/KIT,3.29,52.56,,TTBEIG-PAT-HUFC,www.msisurfaces.com/outdoor-tile/travertine/tuscany-beige/,NS,TRAVERTINE,NATURAL STONE TRAVERTINE COLLECTIONS,Tus. Beige Pattern HUFC - 16 sqft.,MSI/Hardscape,Q1-2019 Price List,MATURE,27-Nov-07
TUSCANY BEIGE VERSAILLES HUFCB PATTERN,TTBEIG-PAT-HUCB,PATTERN,HUFCB,0.50 INCH,16,1,16,SQFT/KIT,3.29,52.56,,TTBEIG-PAT-HUCB,www.msisurfaces.com/outdoor-tile/travertine/tuscany-beige/,NS,TRAVERTINE,NATURAL STONE TRAVERTINE COLLECTIONS,Tus. Beige Pattern HUFCB,MSI/Hardscape,Q1-2019 Price List,MATURE,27-Nov-07
TUSCANY BEIGE VERSAILLES TUMBLED PATTERN,TTBEIG-PAT-TUM,PATTERN,TUMBLED,0.50 INCH,16,1,16,SQFT/KIT,3.29,52.56,,TTBEIG-PAT-TUM,www.msisurfaces.com/outdoor-tile/travertine/tuscany-beige/,NS,TRAVERTINE,NATURAL STONE TRAVERTINE COLLECTIONS,Tus. Beige Pattern Tumbled - 16 sqft,MSI/Hardscape,Q1-2019 Price List,MATURE,27-Nov-07
TUSCANY CHATEAUX VERSAILLES  PATTERN,TTCHAT-PAT-HUFC,PATTERN,HUFC,0.50 INCH,16,1,16,SQFT/KIT,3.8,60.8,,TTCHAT-PAT-HUFC,www.msisurfaces.com/travertine/tuscany-chateaux/,NS,TRAVERTINE,NATURAL STONE TRAVERTINE COLLECTIONS,Tus. Chateaux Pattern HUFC - 16 sqft,MSI,New Item,MATURE,27-Nov-07
TUSCANY CLASSIC 12X12,TTCLASLT1212HF,12x12,HF,0.38 INCH,1,10,10,SQFT,2.11,2.11,,TTCLASLT1212HF,www.msisurfaces.com/travertine/tuscany-classic/,NS,TRAVERTINE,NATURAL STONE TRAVERTINE COLLECTIONS,Tus. Classic 12x12x.38 HF,MSI,New Item,MATURE,27-Nov-07
TUSCANY CLASSIC 12X24,TTCLASLT1224HF,12x24,HF,0.50 INCH,2,1,2,SQFT,2.63,5.27,,TTCLASLT1224HF,www.msisurfaces.com/travertine/tuscany-classic/,NS,TRAVERTINE,NATURAL STONE TRAVERTINE COLLECTIONS,Tus. Classic 12x24x.50 HF,MSI,New Item,MATURE,29-Mar-11
TUSCANY CLASSIC 4X4,TTCLASLT44T,4x4,TUMBLED,0.38 INCH,0.11,45,5,SQFT,3.24,0.36,,TTCLASLT44T,www.msisurfaces.com/travertine/tuscany-classic/,MD,TRAVERTINE,NATURAL STONE TRAVERTINE COLLECTIONS,Tus Classic 4X4 Tumbled,MSI,Q1-2019 Price List,,27-Nov-07
TUSCANY HAZELNUT VERSAILLES PATTERN,TTHAZLNT-PAT-HUCB,PATTERN,HUFCB,0.50 INCH,16,1,16,SQFT/KIT,3.29,52.56,,TTHAZLNT-PAT-HUCB,www.msisurfaces.com/travertine/tuscany-hazelnut/,NS,TRAVERTINE,NATURAL STONE TRAVERTINE COLLECTIONS,Tuscany Hazelnut Pattern HUFCB - 16 sqft,MSI/Hardscape,Q1-2019 Price List,NEW,4-Sep-13
TUSCANY IMPERIUM VERSAILLES PATTERN,TTIMP-PAT-HUFC,PATTERN,HUFC,0.50 INCH,16,1,16,SQFT/KIT,3.9,62.36,,TTIMP-PAT-HUFC,www.msisurfaces.com/travertine/tuscany-imperium/,NS,TRAVERTINE,NATURAL STONE TRAVERTINE COLLECTIONS,Tus. Imperium Pattern HUFC - 16 sqft,MSI/Hardscape,Q1-2019 Price List,MATURE,27-Nov-07
